Tarih,Kapanış
12 Eylül 2020,466.15
14 Eylül 2020,470.74
15 Eylül 2020,470.61
16 Eylül 2020,472.69
17 Eylül 2020,471.72
18 Eylül 2020,473.82
19 Eylül 2020,473.82
21 Eylül 2020,469.26
22 Eylül 2020,468.1
23 Eylül 2020,461.36
24 Eylül 2020,457.92
25 Eylül 2020,458.37
26 Eylül 2020,458.39
28 Eylül 2020,471.83
29 Eylül 2020,476.98
30 Eylül 2020,467.54
1 Ekim 2020,474.56
2 Ekim 2020,473.84
3 Ekim 2020,473.84
5 Ekim 2020,477.65
6 Ekim 2020,470.8
7 Ekim 2020,478.36
8 Ekim 2020,483.65
9 Ekim 2020,487.57
10 Ekim 2020,487.57
12 Ekim 2020,487.24
13 Ekim 2020,481.57
14 Ekim 2020,483.6
15 Ekim 2020,486.84
16 Ekim 2020,484.48
17 Ekim 2020,484.48
19 Ekim 2020,482.32
20 Ekim 2020,482
21 Ekim 2020,483.43
22 Ekim 2020,486.01
23 Ekim 2020,487.18
24 Ekim 2020,487.18
26 Ekim 2020,494.35
27 Ekim 2020,502.13
28 Ekim 2020,498.28
30 Ekim 2020,504.19
31 Ekim 2020,504.19
2 Kasım 2020,514.36
3 Kasım 2020,515.65
4 Kasım 2020,515.76
5 Kasım 2020,527.49
6 Kasım 2020,534.77
7 Kasım 2020,534.99
9 Kasım 2020,483.04
10 Kasım 2020,491.26
11 Kasım 2020,467.15
12 Kasım 2020,464.08
13 Kasım 2020,466.22
14 Kasım 2020,466.22
16 Kasım 2020,467.89
17 Kasım 2020,465.81
18 Kasım 2020,463.9
19 Kasım 2020,453.34
20 Kasım 2020,459.09
21 Kasım 2020,459.09
23 Kasım 2020,465.6
24 Kasım 2020,465.29
25 Kasım 2020,461.98
26 Kasım 2020,457.66
27 Kasım 2020,449.02
30 Kasım 2020,446.99
1 Aralık 2020,456.86
2 Aralık 2020,462.18
3 Aralık 2020,460.41
4 Aralık 2020,461.43
5 Aralık 2020,461.43
7 Aralık 2020,468.03
8 Aralık 2020,470.31
9 Aralık 2020,462.15
10 Aralık 2020,465.7
11 Aralık 2020,463.62
12 Aralık 2020,463.62
14 Aralık 2020,461.52
15 Aralık 2020,467.22
16 Aralık 2020,467.63
17 Aralık 2020,466.69
18 Aralık 2020,463.26
19 Aralık 2020,461.81
21 Aralık 2020,460.9
22 Aralık 2020,458.32
23 Aralık 2020,460.06
24 Aralık 2020,458.41
25 Aralık 2020,458.44
28 Aralık 2020,448.13
29 Aralık 2020,446.8
30 Aralık 2020,449.54
31 Aralık 2020,454.36
1 Ocak 2021,452.92
4 Ocak 2021,463.79
5 Ocak 2021,462.98
6 Ocak 2021,450.65
7 Ocak 2021,452.05
8 Ocak 2021,438.05
9 Ocak 2021,438.05
11 Ocak 2021,443.93
12 Ocak 2021,444.83
13 Ocak 2021,439.96
14 Ocak 2021,437.19
15 Ocak 2021,437.79
16 Ocak 2021,437.79
18 Ocak 2021,441.47
19 Ocak 2021,441.82
20 Ocak 2021,446.08
21 Ocak 2021,442.71
22 Ocak 2021,441.78
23 Ocak 2021,441.78
25 Ocak 2021,442.12
26 Ocak 2021,437.17
27 Ocak 2021,438.79
28 Ocak 2021,434.3
29 Ocak 2021,433.5
30 Ocak 2021,433.5
1 Şubat 2021,429.53
2 Şubat 2021,424.97
3 Şubat 2021,422.1
4 Şubat 2021,411.49
5 Şubat 2021,411.1
6 Şubat 2021,411.1
8 Şubat 2021,416.44
9 Şubat 2021,417.37
10 Şubat 2021,418.17
11 Şubat 2021,412.58
12 Şubat 2021,412.01
13 Şubat 2021,412.01
15 Şubat 2021,406.98
16 Şubat 2021,403.64
17 Şubat 2021,397.46
18 Şubat 2021,397.42
19 Şubat 2021,399.99
20 Şubat 2021,400
22 Şubat 2021,408.24
23 Şubat 2021,412.41
24 Şubat 2021,415.55
25 Şubat 2021,418.42
26 Şubat 2021,412.18
27 Şubat 2021,412.22
1 Mart 2021,404.38
2 Mart 2021,410.11
3 Mart 2021,410.44
4 Mart 2021,409.33
5 Mart 2021,411.24
6 Mart 2021,411.24
8 Mart 2021,418.5
9 Mart 2021,420.07
10 Mart 2021,416.35
11 Mart 2021,414.33
12 Mart 2021,419.29
13 Mart 2021,419.29
15 Mart 2021,419.41
16 Mart 2021,416.71
17 Mart 2021,420.49
18 Mart 2021,408.77
19 Mart 2021,404.72
20 Mart 2021,404.72
22 Mart 2021,435.45
23 Mart 2021,441.46
24 Mart 2021,442.58
25 Mart 2021,440.87
26 Mart 2021,452.43
27 Mart 2021,452.43
29 Mart 2021,451.21
30 Mart 2021,451.36
31 Mart 2021,452.37
1 Nisan 2021,450.8
2 Nisan 2021,454.45
5 Nisan 2021,450.2
6 Nisan 2021,455.74
7 Nisan 2021,455.14
8 Nisan 2021,459.08
9 Nisan 2021,457.29
10 Nisan 2021,457.31
13 Nisan 2021,454.83
14 Nisan 2021,450.23
15 Nisan 2021,454.14
16 Nisan 2021,460.52
17 Nisan 2021,460.43
19 Nisan 2021,460.66
20 Nisan 2021,463.45
21 Nisan 2021,471.67
22 Nisan 2021,476.65
23 Nisan 2021,478.77
26 Nisan 2021,473.65
27 Nisan 2021,468.66
28 Nisan 2021,468.96
29 Nisan 2021,467.26
30 Nisan 2021,471.27
1 Mayıs 2021,471.21
3 Mayıs 2021,475.35
4 Mayıs 2021,475.96
5 Mayıs 2021,477.56
6 Mayıs 2021,482.86
7 Mayıs 2021,484.8
8 Mayıs 2021,484.8
10 Mayıs 2021,488.36
11 Mayıs 2021,488.96
12 Mayıs 2021,491.39
13 Mayıs 2021,499.29
14 Mayıs 2021,501.11
17 Mayıs 2021,498.92
18 Mayıs 2021,502.13
19 Mayıs 2021,505.66
20 Mayıs 2021,505.78
21 Mayıs 2021,509.09
24 Mayıs 2021,507.28
25 Mayıs 2021,516.64
26 Mayıs 2021,515.65
27 Mayıs 2021,518.16
28 Mayıs 2021,524.23
31 Mayıs 2021,520.49
1 Haziran 2021,520.52
2 Haziran 2021,527.17
3 Haziran 2021,523.41
4 Haziran 2021,526.95
7 Haziran 2021,525.91
8 Haziran 2021,523.7
9 Haziran 2021,521.57
10 Haziran 2021,514.32
11 Haziran 2021,506.72
14 Haziran 2021,508.14
15 Haziran 2021,511.43
16 Haziran 2021,501.9
17 Haziran 2021,497.11
18 Haziran 2021,495.64
21 Haziran 2021,502.76
22 Haziran 2021,494.67
23 Haziran 2021,494.17
24 Haziran 2021,497.03
25 Haziran 2021,502
26 Haziran 2021,502.03
28 Haziran 2021,496.5
29 Haziran 2021,494.45
30 Haziran 2021,495.42
1 Temmuz 2021,494.49
2 Temmuz 2021,498.76
5 Temmuz 2021,499.06
6 Temmuz 2021,502.04
7 Temmuz 2021,503.57
8 Temmuz 2021,503.87
9 Temmuz 2021,503.37
10 Temmuz 2021,503.43
12 Temmuz 2021,501.44
13 Temmuz 2021,500.99
14 Temmuz 2021,504.34
15 Temmuz 2021,503.64
16 Temmuz 2021,496.25
17 Temmuz 2021,496.26
19 Temmuz 2021,500.34
20 Temmuz 2021,498.49
21 Temmuz 2021,496.29
22 Temmuz 2021,497.47
23 Temmuz 2021,495.46
24 Temmuz 2021,495.48
26 Temmuz 2021,494.12
27 Temmuz 2021,495.03
28 Temmuz 2021,496.57
29 Temmuz 2021,496.77
30 Temmuz 2021,492.54
2 Ağustos 2021,486.67
3 Ağustos 2021,489.1
4 Ağustos 2021,493.6
5 Ağustos 2021,494.37
6 Ağustos 2021,488.29
7 Ağustos 2021,488.27
9 Ağustos 2021,479.91
10 Ağustos 2021,477.9
12 Ağustos 2021,481.5
13 Ağustos 2021,487.1
14 Ağustos 2021,487.34
16 Ağustos 2021,485.73
